Location,Description
Wawa Dam,Do you want to escape the city life just for a day Are you looking for a place to visit near Metro Manila where you can relax take landscape photos and enjoy the wonders of nature There s a place in Rodriguez Rizal approximately one hour drive from Metro Manila called Wawa Dam Wawa Dam was built during American colonial era in      as the only source of water supply for the people in the city Today it is an abandoned reservoir visited mostly by hikers as the place is in between Mt Pamitinan and Mt Binacayan Local tourists mountaineers and other people coming from different cities visit the place for picnic sightseeing mountain climbing and even shooting films especially during summertime Wawa Dam also known as Montalban Dam is a gravity dam constructed over the Marikina River in the municipality of Rodriguez in Rizal province Philippines The slightly arched dam is situated in the     metre       ft high Montalban Gorge or Wawa Gorge a water gap in the Sierra Madre Mountains east of Manila It was built in      during the American colonial era to provide the water needs for Manila It used to be the only source of water for Manila until Angat Dam was built and Wawa was abandoned in      Due to insufficiency of water supply for Metro Manila there was a strong clamor to reuse the dam The dam and surrounding area is currently protected as part of the Pamitinan Protected Landscape Wawa Dam in Rodriguez Rizal is a favorite weekend destination for mountain bikers based in Manila Situated in the     meter high Montalban Gorge or Wawa Gorge a water gap in the Sierra Madre Mountains these headwaters of the Marikina River used to be the primary water source of Manila before La Mesa Watershed The scenic destination is roughly just an hour s drive away depending on the traffic from the big cities in the East of Manila
Treasure Mountain,Hiking Treasure Mountain is a truly special experience Once you reach the top you will be welcomed with an otherworldly view of the mountain ranges of Sierra Madre We highly recommend that you don t only hike to the mountain but also spend some time camping so that you can fully take in your surroundings You may choose to pitch a tent or rent a cottage At Treasure Mountain you will feel tall and infinite with the clouds imitating cotton candies that seems to be just within your reach Effortless sea of clouds near Manila That s what pulling campers and day trippers to this high altitude educational campsite If you ve always wanted to admire a sea of clouds in person but you don t have the time energy stamina or interest in hiking this is a great alternative Assuming the weather cooperates that is There are times when visitors won t get to see the sea of clouds because it s rainy or other reasons but the place still offers a panoramic view of the lush Sierra Madre mountain range Several viewpoints can be found inside the camp so just choose your spot Be careful when you climb some rock formations and cliffs as some of them are sharp and slippery You can also try the rope courses installed within the campsite ride the ATV or swim in the pool There are restrooms and a small restaurant near the entrance If you are camping overnight you can bring your own tent and food corkage fee of P    for food and P   per alcoholic bottle Pack some warmers and your trusty jacket because the weather up there is usually chilly Please dispose of your trash properly Nestled in Tanay Rizal Treasure Mountain is a campsite overlooking the Sierra Madre mountain range perfect for those who want to experience camping for the first time or want to go offline even just for a night Don t worry about having any experience in hiking you don t have to hike to reach the campsite You can bring your vehicle park at the jump off point and ride a tricycle going to the site The road can be very bumpy so it s recommended to go for the tricycle ride unless you own a     vehicle
ATV Adventures Rizal,Welcome to ATV ADVENTURES RIZAL Get ready for some serious off road adventure just outside of Manila We take you along muddy trails through hilly terrain into deep green forests and jungle to the river and more Connect to nature Interact with the local people Swim in the river Treat yourself to a great adventure The trails are awesome We welcome groups of all sizes be it for a family outing birthday party corporate event or simply a friendly get together Minimum tour size is   people Beginners No problem We provide instruction and a safety demo to all riders Need a dose of adrenaline You can also go on a thrilling rough road adventure riding an ATV along muddy trails across rivers and through jungles ATV Adventure Rizal organizes various ATV tours There are five route options Short Trail Forest Trail Marikina River Trail Long Trail Jungle Trail Each has its own set of itineraries duration and inclusions There will be a safety briefing and demo with an ATV expert so no need to worry if it s your first time Just follow the instructions and you are good to go Welcome to ATV ADVENTURES RIZAL Get ready for some serious off road adventure just outside of Manila We take you along muddy trails through hilly terrain into deep green forests and jungle to the river and more Connect to nature Interact with the local people Swim in the river Treat yourself to a great adventure The trails are awesome We welcome groups of all sizes be it for a family outing birthday party corporate event or simply a friendly get together Minimum tour size is   people Beginners No problem We provide instruction and a safety demo to all riders
Nuestra Señora dela Annunciata Parish Church,The Nuestra Señora de la Annunciata Parish Church also known as Bosoboso Church or Boso Boso Church is a Roman Catholic parish church located in Sitio Old Boso Boso Barangay San Jose in Antipolo Rizal Philippines The Church of Boso Boso was built by the Jesuit Priests on      under the Patron of Nuestra Senora de la Anunciata and the administration of the church was transfered to the local priests on      Part of it was destroyed by an earthquake on July         The Church was abandoned on      when the town was transfered because of an order The people of Boso Boso came back after the order was not implemented Then on      the church was destroyed because of fire but it was restored on      by the good devotees The Nuestra Señora de la Annunciata Parish Church also known as Boso Boso Church is a Roman Catholic Church located in Old Boso Boso Barangay San Jose in Antipolo City Rizal Philippines HistoryThe first church was built as a mission church by the Franciscan missionaries sometime in the late   th to early   th century The Jesuits eventually took over the mission there in the   th century who began constructing a new church made of stone and brick I
Windmill Farm,Located in the humble barangay of Halayhayin in Pililla to be more precise the Rizal Wind Farm is the newest addition to the growing list of tourism hotspots within close proximity of the capital just two hours away According to Alternergy Wind One Corp the company that leads the operations of the farm Pililla is an ideal setting for a wind farm because it is part of a natural wind corridor created by the unique geographical features surrounding the lake A lane of    wind turbines stand atop sloping hills at     meters above sea level towering over Laguna de Bay and standing along the NW SE line to capture the Amihan from October to March whose speeds can reach   km hour Each turbine can produce  MW The entire farm is estimated to be able to generate almost     Gigawatt hours of electricity every year Encompassing over       hectares of the hilly landscape the Pililla Wind Farm flaunts its colossal wind turbines that tower over the landscape All    wind turbines stand like gigantic sentinels providing an incredibly scenic tourist destination near Manila and more importantly electricity Managed by Alternergy Philippine Holdings Corporation APHC the whole wind farm is said to produce almost     Gigawatt hours of electricity annually If you want to view the turbines from the hill across the viewing deck you have to pay P   to trek up the hill Even from afar they are a sight to behold especially during sunset and early morning The place is also popular among bikers One of the renowned energy sources in Phillippines This windmill is located in the heart of Rizal and it covers an area of       hectares in a beautiful area The project consists of    wind turbine generators grouped into three clusters with an aggregate capacity of    megawatts It was one of the great places to see in Rizal
Balaw Balaw Restaurant and Art Gallery,Balaw Balaw Restaurant combines good food and art It started in the     s as a painting studio and today it s considered one of the best local restaurants in Rizal It offers traditional Filipino dishes as well as local delicacies that can be found in Rizal and even exotic food such as nilasing na palaka frog marinated in alcohol kamaro fried crickets uok coconut worm sizzling balut and ball among others Balaw Balaw Restaurant serves Filipino cuisine boasting twelve kinds of sinigang and exotic fares on the menu Some of the exotic food are itik duck sinabawang balut ginataang kuhol crickets and frog cuisine Note that some exotic food items are seasonal like the kamaro crickets uok and bibingkang abnoy spoiled duck egg But adventurous eaters come to this restaurant for one thing the exotic Soup   notorious for its star protein cow s balls Let s just say that it is an acquired taste The restaurant also features an art gallery so you can check out the collection while there Located    km west from Manila Balaw Balaw opened on October         by spouses Perdigon N Vocalan an Angono Artist and Luzvimin L Vocalan a former high school teacher To uphold and enliven the Filipino tradition and culture we have put up the Balaw Balaw Restaurant which is enhanced by the easel paintings that portray Filipino folkways
Tanay Adventure Camp,The Tanay Adventure Camp is the place to go if you are serious about adventure and the outdoors With its motto Building Character Through Adventure it aims to instil a love for adventure sports while at the same time teaching leadership and teamwork skills Its outdoor activities include basic and advanced mountaineering wall climbing rappelling paragliding paintball high ropes zip line and much more Team building activities are usually organized here to enhance teamwork and collaboration within groups Accommodations are also available and can cater to small families or groups to large groups Unique place suited for Family Out of town Trips Company Team Building Activities Youth Camps School Excursions Religious Retreats and etc Tanay Adventure Camp TAC is composed of few hectares land area covered with the refreshing green grasses and trees It was developed to provide a great and memorable experiences to all the guests and visitors Outstanding activities like mud slide connected to military obstacle courses rappelling wall rock climbing aerial walk zip line and the refreshing swimming pool can be offered for you
Mount Kulis,Mt Kulis and Fresno Agro Forestry and Eco Tourist Campsite are new destinations in Tanay Rizal where you can experience camping and seeing a sea of clouds without the extreme effort of climbing a mountain This destination is good for beginners and for the fans of Cardo Sit atop the summit is a house known as Bahay ni Cardo a shooting location in ABS CBN s Ang Probinsyano Mount Kulis is popular for its sea of clouds and its majestic view of the Sierra Madre mountain range It is one of the best options for beginners who want to try hiking Mt Kulis became famous among hikers because of its proximity to Metro Manila This mountain is perfect for beginners or for those who just wanted to be with nature You also do not need to exert so much effort in climbing mountains like those in Benguet to experience sea of clouds
Lambingan Hills,Tanay Rizal never runs out of places to offer to its visitors Lambingan Hill has recently opened to public and has easily caught the attention of tourists The newest spot in Brgy Cuyambay is proud to present its pure nature inspired attraction perfect for families and friends looking for a quick retreat Lambingan Hill has a scenic view of Laguna Lake and is surrounded by verdant forest Its main attractions are the bright red and yellow Celosia flowers Aside from it there are swings hanging on the trees for kids and kids at heart There is a spacious camping ground for visitors who wish to spend the night The weather in Tanay is quite cold so expect it to be even more freezing at night which is perfect for camping and bonfire Tent pitching is free but you can also rent to them for Php    good for     pax Lambingan Hills which opened to the public in      is a privately owned property with a vacation house Day entrance is at P     a m to   p m and guests can take photos of the garden colorful Celosia flowers hang out at the swings or just look out at the surrounding verdant terrain You can rent a tent for two P    for an overnight stay   p m to   a m Shower areas and restrooms are available on site Looking for a place to spend a day and relax with friends or family during the pandemic Lambingan Hills is a campsite in Tanay Rizal often visited by tourists and locals where one can experience cool climate just like in Baguio What you need to do is make a reservation because they don t allow walk ins due to health and safety protocols
Mount Mapalad,Mt Mapalad     MASL is located in Tanay Rizal perfect destination for mountaineers at all levels With     level of difficulty this mountain is best for a dayhike adventure that is suitable for beginners The trail offers beautiful scenery At the summit you can find these two instagrammable wooden palm structures with an impressive view of mountain range and sunrise If you re lucky you ll witness a sea of clouds too Show your appreciation for nature and culture on this immersive tour to Mount Mapalad Learn from the indigenous Dumagats who will educate you about native trees found along the trails Get to know their traditional methods of living and watch their demonstration on how to cook using bamboo Take part in the tree planting activity using fruit bearing trees from the nursery of the local community Climb up the view deck and witness panoramic sceneries overlooking the Sierra Madre mountainMt Mapalad a newly discovered trekking destination located in San Andres is     meters above sea level MASL Allegedly it is a beginner s hike with     difficulty From the jump off where you will meet tour guides for a fee the trek is two   to three   hours depending upon your pacing to complete the eight   kilometers distance to the summit If you are planning on climbing this mountain on weekends expect tons of people climbing It is not very accommodating especially on Sundays
Mount Hapunang Banoi,Rizal province is rich in mountain ranges waterfalls and hiking destinations In fact in Rodriguez Rizal a first class municipality is considered as one of the favorite hiking spots for adventure seekers You can do twin hike trilogy quad or just one mountain on a day hike One of which is Mt Hapunang Banoi the second highest mountain in Rodriguez Rizal It is famous for its naturally beautiful rock and limestone formations perfectly fused with the thick forest of numerous green species of trees and plants Its location boasts the picturesque views of Sierra Madre Mt Hapunang Banoi stands at    masl with     difficulty and requires     hours to reach the summit Mt Hapunang Banoi is approximately over     meters above sea level ASL with a difficulty of     while Mt Pamitinan has an estimated elevation of over     meters ASL with a difficulty of     As both are considered as minor climb for beginners and only takes     hours to reach the summit the local tour guides arrange twin hikes But if you re up for a challenge they could also arrange trilogy climb Mt Hapunang Banoi Mt Pamitinan and Mt Binicayan Mt Hapunang Banoi also known as Mt Banoi is connected to the Mt Pamitinan  rd highest mountain Most of the hikers are doing twin hike Banoi Pamitinan since both mountain is situated in the same land It features river crossing thru hanging bridge endemic flora and fauna forest rock formation scenic view of mountainous land of Rodriguez on top and a possible sea of clouds This mountain is not a minor climb There s a lot of sharp stones along the trail particularly in part near the summit It is advisable to wear a trekking shoes and gloves to prevent hand and foot pain or irritation while hiking The trail is covered by the forest and rich in flora
Mount Masungki,Mt Masungki trail goes through a forested area with lots of tall and thick trees It also involves scrambling over huge boulders and sharp rocks sometimes necessitating relying on vines and random branches for support It takes about two to three hours to reach the summit Here a surprise structure will be seen A metal structure similar to a bare billboard stand is perched on the peak of the mountain It assumed to be a reflector for radars but we are not sure what it has it is for Anyway the view from here is all shades of green It a panoramic vista mostly composed of ancient canopies hills and clusters of limestone The Mt Masungki is always ready for all hikers beginners or even the professionals Along the way are several sinkholes with sharp edges of stones and rocks Many groups are climbing on this mountain too For about     hours of trekking climbing and walking going to the peak of the mountain requires patience and dedication A little time of rest before we push through reaching our destination is much awaited to see the top of it And another     hours going down for your second stop the Nagpatong Rock Mt Masungki is perfectlly for those who are planning to hike for beginner entry but still looking for a extreme adventure because of the rock formation waiting on you
3 Springs Mountain Park,  Springs Mountain Park is a private venue and outdoor park ideal for day trips and overnight stays There are no hotel rooms here The main draw is camping out under the stars in a refreshing venue overlooking the Sierra Madre mountain range For first timers who want to get the fun experience of camping this is a good introduction This tourist spot is found in   Springs Mountain Park KM    Marcos Highway Sitio Mayagay   Barangay Cuyambay Tanay Rizal Philippines A Nature Park in Tanay Rizal with a stunning view of the Sierra Madre   Springs Mountain Park is the first DOT Accredited Agri Tourism Farm Site in Tanay The    hectare property boasts spacious and manicured fields perfect to appreciate nature comfortably with family and friends whether by a stroll on our nature trail or overnight camping under the stars Accredited by the Department of Tourism   Springs Mountain Park is a private park where you can enjoy different activities in their spacious areas and facilities such as tree planting overnight camping and a park tour
Angono-Binangonan Petroglyphs,The NM Angono Binangonan Petroglyphs Site Museum National Museum Angono Binangonan is the site of the oldest known artworks in the Philippines the Angono Binangonan Petroglyphs Dated      B C the rock art is a collection of     human and animal like figures engraved on the wall of a shallow cave of volcanic tuff Officially declared a National Cultural Treasure in      by the National Museum of the Philippines the Angono Binangonan Petroglyphs site offers a glimpse into the prehistoric Philippines The ancient carvings are preserved on a rock wall along the boundary of Angono and Binangonan A tunnel leading to the petroglyphs is located a few meters off the road Col Guido Road The rock wall is protected by a fence but you can still marvel at the carvings from a wooden viewing deck This was first discovered by national artist Carlos Botong Francisco in      Discovered in      the Angono Petroglyphs are believed to be the oldest known artworks in the Philippines Dating to the third millennium B C they are a collection of     figural carvings engraved on the wall of a shallow cave of volcanic tuff In      they were declared a National Cultural Treasure and in      were listed on the World Inventory of Rock Art Almost immediately after they were brought to public attention the National Museum of the Philippines made several molds of the carvings Subsequently the site underwent cleaning and preliminary conservation during the     s
Calinawan Cave,Still don t know where to go in Tanay Calinawan Cave is a complex cave system that consists of several layers that visitors can explore for hours Exploring this cave can be done in conjunction with Daranak or Batlag Falls because it is also located in Barangay Tandang Kutyo The cave has a historical significance because it used to be a hideout for revolutionaries The cave s name whose root word is linaw also indicates that Japanese and American troops used to settle their differences or misunderstanding in these caves Aside from its role in history the cave itself is naturally beautiful with its chambers and rock formations Calinawan Cave is a must visit not only for adventure seekers but also for history buffs The multi level cave system harbors remarkable rock formations stalagmites and stalactites delighting spelunkers and curious travelers The first two levels are quite easy to explore good for beginners and kids However the succeeding levels require scrambling and getting through small openings It s even more challenging when the grounds are wet making it slippery Wear comfortable footwear and bring extra clothes just in case The cave is believed to be one of the underground meeting places of the revolutionary katipuneros plotting steps to overthrow the Spanish colonizers It is best to explore with a guide If you book a tour you will be given protective gear like a helmet and flashlight The guide will share stories and information as you explore the cave Situated in Barangay Tandang Kutyo of Tanay Rizal Calinawan Cave is an enormous cave system composed of multiple levels and various chambers and openings History tells us that the cave served as hideout by Filipino revolutionaries during Spanish American war and a shelter during the Second World War How it got its name according to local folklore has a touch of history too as it was where the Japanese and American troops settle their disputes thus Calinawan from the Filipino word linaw which means to settle or to clear
